#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"KeyIso","System.ServiceProcess.ServiceController[]","False","False","True","Isolation de cl? CNG","System.ServiceProcess.ServiceController[]",".","KeyIso","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"LanmanServer","System.ServiceProcess.ServiceController[]","False","False","True","Serveur","System.ServiceProcess.ServiceController[]",".","LanmanServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"LanmanWorkstation","System.ServiceProcess.ServiceController[]","True","False","True","Station de travail","System.ServiceProcess.ServiceController[]",".","LanmanWorkstation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"LicenseManager","System.ServiceProcess.ServiceController[]","False","False","True","Serveur Gestionnaire de licences Windows","System.ServiceProcess.ServiceController[]",".","LicenseManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"lmhosts","System.ServiceProcess.ServiceController[]","False","False","True","Assistance NetBIOS sur TCP/IP","System.ServiceProcess.ServiceController[]",".","lmhosts","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"LSM","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire de session locale","System.ServiceProcess.ServiceController[]",".","LSM","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"mpssvc","System.ServiceProcess.ServiceController[]","False","False","False","Pare-feu Windows Defender","System.ServiceProcess.ServiceController[]",".","mpssvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"MSDTC","System.ServiceProcess.ServiceController[]","False","True","True","Coordinateur de transactions distribu?es","System.ServiceProcess.ServiceController[]",".","MSDTC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"NcbService","System.ServiceProcess.ServiceController[]","False","False","True","Service Broker pour les connexions r?seau","System.ServiceProcess.ServiceController[]",".","NcbService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"Netlogon","System.ServiceProcess.ServiceController[]","True","False","True","Netlogon","System.ServiceProcess.ServiceController[]",".","Netlogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"netprofm","System.ServiceProcess.ServiceController[]","False","False","True","Service Liste des r?seaux","System.ServiceProcess.ServiceController[]",".","netprofm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"NlaSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connaissance des emplacements r?seau","System.ServiceProcess.ServiceController[]",".","NlaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"nsi","System.ServiceProcess.ServiceController[]","False","False","True","Service Interface du magasin r?seau","System.ServiceProcess.ServiceController[]",".","nsi","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"NTDS","System.ServiceProcess.ServiceController[]","False","True","True","Services de domaine Active Directory","System.ServiceProcess.ServiceController[]",".","NTDS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"Nutanix Guest Agent","System.ServiceProcess.ServiceController[]","False","False","True","Nutanix Guest Tools Agent","System.ServiceProcess.ServiceController[]",".","Nutanix Guest Agent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"Nutanix Self Service Restore Gateway","System.ServiceProcess.ServiceController[]","False","False","True","Nutanix Self Service Restore Gateway","System.ServiceProcess.ServiceController[]",".","Nutanix Self Service Restore Gateway","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"PcaSvc","System.ServiceProcess.ServiceController[]","False","True","True","Service de l?Assistant Compatibilit? des programmes","System.ServiceProcess.ServiceController[]",".","PcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"PlugPlay","System.ServiceProcess.ServiceController[]","False","True","True","Plug-and-Play","System.ServiceProcess.ServiceController[]",".","PlugPlay","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"PolicyAgent","System.ServiceProcess.ServiceController[]","False","True","True","Agent de strat?gie IPsec","System.ServiceProcess.ServiceController[]",".","PolicyAgent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"Power","System.ServiceProcess.ServiceController[]","False","False","False","Alimentation","System.ServiceProcess.ServiceController[]",".","Power","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"ProfSvc","System.ServiceProcess.ServiceController[]","False","True","True","Service de profil utilisateur","System.ServiceProcess.ServiceController[]",".","ProfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"RasMan","System.ServiceProcess.ServiceController[]","False","True","True","Gestionnaire des connexions d?acc?s ? distance","System.ServiceProcess.ServiceController[]",".","RasMan","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"RpcEptMapper","System.ServiceProcess.ServiceController[]","False","False","False","Mappeur de point de terminaison RPC","System.ServiceProcess.ServiceController[]",".","RpcEptMapper","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RpcSs","System.ServiceProcess.ServiceController[]","False","False","False","Appel de proc?dure distante (RPC)","System.ServiceProcess.ServiceController[]",".","RpcSs","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"SamSs","System.ServiceProcess.ServiceController[]","False","False","False","Gestionnaire de comptes de s?curit?","System.ServiceProcess.ServiceController[]",".","SamSs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"Schedule","System.ServiceProcess.ServiceController[]","False","True","True","Planificateur de t?ches","System.ServiceProcess.ServiceController[]",".","Schedule","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"SENS","System.ServiceProcess.ServiceController[]","False","False","True","Service de notification d??v?nements syst?me","System.ServiceProcess.ServiceController[]",".","SENS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"SessionEnv","System.ServiceProcess.ServiceController[]","False","False","True","Configuration des services Bureau ? distance","System.ServiceProcess.ServiceController[]",".","SessionEnv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"ShellHWDetection","System.ServiceProcess.ServiceController[]","False","False","True","D?tection mat?riel noyau","System.ServiceProcess.ServiceController[]",".","ShellHWDetection","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"Spooler","System.ServiceProcess.ServiceController[]","False","False","True","Spouleur d?impression","System.ServiceProcess.ServiceController[]",".","Spooler","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, InteractiveProcess","Automatic",,
"sshd","System.ServiceProcess.ServiceController[]","False","False","True","OpenSSH SSH Server","System.ServiceProcess.ServiceController[]",".","sshd","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SstpSvc","System.ServiceProcess.ServiceController[]","False","True","True","Service?SSTP (Secure Socket Tunneling Protocol)","System.ServiceProcess.ServiceController[]",".","SstpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"StateRepository","System.ServiceProcess.ServiceController[]","False","True","True","Service State Repository (StateRepository)","System.ServiceProcess.ServiceController[]",".","StateRepository","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"StorSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service de stockage","System.ServiceProcess.ServiceController[]",".","StorSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"SysMain","System.ServiceProcess.ServiceController[]","False","True","True","SysMain","System.ServiceProcess.ServiceController[]",".","SysMain","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"SystemEventsBroker","System.ServiceProcess.ServiceController[]","False","False","True","Service Broker des ?v?nements syst?me","System.ServiceProcess.ServiceController[]",".","SystemEventsBroker","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"TabletInputService","System.ServiceProcess.ServiceController[]","False","False","False","Service du clavier tactile et du volet d??criture manuscrite","System.ServiceProcess.ServiceController[]",".","TabletInputService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"TermService","System.ServiceProcess.ServiceController[]","False","True","True","Services Bureau ? distance","System.ServiceProcess.ServiceController[]",".","TermService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"Themes","System.ServiceProcess.ServiceController[]","False","False","True","Th?mes","System.ServiceProcess.ServiceController[]",".","Themes","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"TimeBrokerSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service Broker pour les ?v?nements horaires","System.ServiceProcess.ServiceController[]",".","TimeBrokerSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"TokenBroker","System.ServiceProcess.ServiceController[]","False","False","True","Gestionnaire de comptes web","System.ServiceProcess.ServiceController[]",".","TokenBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"UALSVC","System.ServiceProcess.ServiceController[]","False","False","True","Service de journalisation des acc?s utilisateur","System.ServiceProcess.ServiceController[]",".","UALSVC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"UmRdpService","System.ServiceProcess.ServiceController[]","False","True","True","Redirecteur de port du mode utilisateur des services Bureau ? distance","System.ServiceProcess.ServiceController[]",".","UmRdpService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"UserManager","System.ServiceProcess.ServiceController[]","False","False","True","Gestionnaire des utilisateurs","System.ServiceProcess.ServiceController[]",".","UserManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"UsoSvc","System.ServiceProcess.ServiceController[]","False","True","True","Update Orchestrator Service","System.ServiceProcess.ServiceController[]",".","UsoSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"vds","System.ServiceProcess.ServiceController[]","False","False","True","Disque virtuel","System.ServiceProcess.ServiceController[]",".","vds","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"W32Time","System.ServiceProcess.ServiceController[]","False","True","True","Temps Windows","System.ServiceProcess.ServiceController[]",".","W32Time","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"WaaSMedicSvc","System.ServiceProcess.ServiceController[]","False","True","True","Windows Update Medic Service","System.ServiceProcess.ServiceController[]",".","WaaSMedicSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"Wcmsvc","System.ServiceProcess.ServiceController[]","False","True","True","Gestionnaire des connexions Windows","System.ServiceProcess.ServiceController[]",".","Wcmsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"WdiSystemHost","System.ServiceProcess.ServiceController[]","False","True","True","H?te syst?me de diagnostics","System.ServiceProcess.ServiceController[]",".","WdiSystemHost","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"WdNisSvc","System.ServiceProcess.ServiceController[]","False","False","True","Service Inspection du r?seau de l?antivirus Windows Defender","System.ServiceProcess.ServiceController[]",".","WdNisSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"WinDefend","System.ServiceProcess.ServiceController[]","False","True","True","Service antivirus Windows Defender","System.ServiceProcess.ServiceController[]",".","WinDefend","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"WinHttpAutoProxySvc","System.ServiceProcess.ServiceController[]","False","True","False","Service de d?couverte automatique de Proxy Web pour les services HTTP Windows","System.ServiceProcess.ServiceController[]",".","WinHttpAutoProxySvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"Winmgmt","System.ServiceProcess.ServiceController[]","True","True","True","Infrastructure de gestion Windows","System.ServiceProcess.ServiceController[]",".","Winmgmt","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"WinRM","System.ServiceProcess.ServiceController[]","False","True","True","Gestion ? distance de Windows (Gestion WSM)","System.ServiceProcess.ServiceController[]",".","WinRM","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"WpnService","System.ServiceProcess.ServiceController[]","False","False","True","Service du syst?me de notifications Push Windows","System.ServiceProcess.ServiceController[]",".","WpnService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"WpnUserService_5c3d4","System.ServiceProcess.ServiceController[]","False","False","True","Service utilisateur de notifications Push Windows_5c3d4","System.ServiceProcess.ServiceController[]",".","WpnUserService_5c3d4","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Automatic",,
